model,processor,screen_size,storage,ram,title
MacBook Pro,M1Max,14,Unknown,64,徵 MacBook Pro M1 Max 64 14 inch
Not MacBook,,,Unknown,Unknown,MAC Book PRO 16吋
MacBook Pro,Unknown,13,Unknown,Unknown,🔥Macbookpro A1989 Touch Bar系列🔥
MacBook Air,M4,13,256,Unknown,「保固兩年」MacBook Air M4 2025 256G 僅使用幾次 幾乎全新 台北實體門市 可面交 蘋果筆記型電腦 二手筆電
MacBook Air,Intel i5,13,Unknown,8,出清 Macbook Air Pro 13.3 (1440 * 900) retina 蘋果電腦 i5/8G/128GB/apple筆電/電腦/筆記型電腦電腦
MacBook Pro,Unknown,13,Unknown,Unknown,MacBook Pro
MacBook Air,M1,13,Unknown,Unknown,MacBook Air M1 - 英文鍵盤
MacBook Pro,Unknown,15,Unknown,Unknown,"MacBook Pro (15-inch, 2017)"
MacBook Retina,Unknown,12,Unknown,Unknown,Apple MacBook 蘋果筆記型電腦 A1534 2018 玫瑰金 二手
MacBook Pro,Unknown,15,Unknown,Unknown,MacBook Pro A1502
MacBook Pro,Unknown,13,Unknown,128,二手2019年MacBook pro 128G A1708鐵灰色、附全新充電頭、office
MacBook Pro,Unknown,13,Unknown,Unknown,出售 MacBook Pro 2017
MacBook Air,Unknown,13,256,128,"Airpods4, Iphone12pro 256G,12 128G,11 64/128G,xs 256G, MacBook pro13吋"
Not MacBook,,,256,Unknown,二手幾乎全新 Apple iPad Pro 12.9 M2 Wi-Fi 256GB + 巧控鍵盤一起賣
Not MacBook,,,Unknown,Unknown,蘋果 apple iMac 24吋 M1(2021) 8G記憶體 容量256GB
Not MacBook,,,Unknown,16,iMac M1 16G/1T
MacBook Pro,Unknown,15,256,Unknown,🔥蘋果MacBook Pro A1502 I5四代 文書筆電 搭配16G記憶體+256G SSD+Retina螢幕(2560*1600)+背光鍵盤🔥
MacBook Air,M3,13,512,16,MacBook Air 13 m3 512/16 星光金 雙北
Not MacBook,,,Unknown,Unknown,Mac book i7 size 15
Not MacBook,,,Unknown,16,賣 apple mac mini M4 16GB 全新 沒拆封
Not MacBook,,,512,16,ASUS ZenBook 14 i7-8th 16G/512G SSD slim & light 1.09kg only! 高階 極輕薄 商務 數字觸控板 皇家藍
MacBook Pro,Unknown,13,Unknown,Unknown,2017 13吋MacBook Pro intel Core i5晶片 太空灰
MacBook Pro,Unknown,13,512,Unknown,MacBook Pro A1708 512GB SSD硬碟
Not MacBook,,,Unknown,Unknown,Apple Thunderbolt SSD 1TB
MacBook Pro,Unknown,13,512,Unknown,蘋果原廠 升級用硬碟，M.2 SSD 512G A1398 A1502 macbook pro 免運寄出，7-11貨到付款
MacBook Pro,Intel i5,13,Unknown,Unknown,Apple MacBook pro i5 2.7 13吋
Not MacBook,,,Unknown,Unknown,irocks 無線鍵盤
Not MacBook,,,Unknown,Unknown,蘋果筆電充電器，售300。可店到店。
Not MacBook,,,Unknown,Unknown,全新 Hark islim 13吋筆電包-藍色
MacBook Air,Unknown,13,Unknown,Unknown,MacBook Pro A1466 零件機
MacBook Pro,M1,15,Unknown,16,二手 2015 MacBook pro 15吋 500gb ram 16gb
MacBook Pro,Unknown,13,Unknown,Unknown,MacBook pro A1278一批
Not MacBook,,,Unknown,Unknown,Apple Power Mac G4 稀有鏡面機MDD 外觀極佳、改上無線、藍牙，錯過不再
MacBook Pro,Unknown,16,Unknown,16,Macbook Pro 16
MacBook Air,Unknown,13,Unknown,Unknown,￼【UNIQ】Macbook Air/Pro 13吋 磁吸筆電保護套(DFender)｜筆電套 時尚緩衝 綠
MacBook Pro,Unknown,13,Unknown,8,MacBook Pro 2017 A1708 灰色 8G/128G 電池276次
MacBook Air,M3,13,Unknown,24,近全新 M3 Macbook Air (太空灰) - 24GB/1TB
MacBook Air,M2,13,256,8,MacBook Air 13吋M2 8GB 256GB
MacBook Pro,Unknown,13,Unknown,Unknown,MacBook Pro / iPad / iPad mini三台一起賣，都正常開機，當零件機賣
MacBook Pro,M1,13,512,8,Macbook pro M1 2021 蘋果筆電 Apple A2338 8G 512G TouchBar TouchID (0143)
MacBook Pro,M2Pro,14,Unknown,Unknown,影音、平面設計、室內設計、編曲適合 高階版本M2 Pro MacBook Pro 14吋 1TB SSD
MacBook Air,Unknown,13,Unknown,Unknown,[今天面交再打折］Apple MacBook Air 2020 Retina 蘋果輕薄筆電 太空灰
MacBook Pro,M3Pro,14,512,Unknown,Macbook pro 14吋M3 Pro 18GB 512GB
MacBook Pro,M1Pro,14,Unknown,32,Macbook pro 14吋M1 Pro 32GB 1TB
MacBook Air,M1,13,256,8,Macbook air M1 2020 蘋果筆電 Apple A2337 8G 256G M1處理器(0149)
Not MacBook,,,256,Unknown,出售 IPhone 15 promax 256g 黑色
MacBook Pro,Unknown,13,256,8,Macbook Pro 13 8/256G A1708 全新電池
MacBook Air,Unknown,13,256,8,Macbook Air 2018蘋果筆電 Apple A1932 8G 256G (0147)
MacBook Air,Intel i5,13,Unknown,16,Apple Macbook Air 13 2019 i5-1.6/16G/128G 瑕疵機 灰 A77192
MacBook Pro,M1,16,Unknown,Unknown,難得釋出M1 超香客製款16G記憶體256 ssd M1 2021 Macbook Pro 13
MacBook Pro,Unknown,13,Unknown,Unknown,MacBook Pro 13吋 Touch Bar 2016 $8500 功能都正常 雙北可面交
MacBook Pro,M1Pro,14,Unknown,Unknown,超值 32G記憶體M1 Pro MacBook 14吋
MacBook Pro,M2,13,256,8,【售】電池92% MacBook Pro 13吋 M2 / 2023 / 8GB / 256G / 太空灰
MacBook Pro,M2,13,256,8,【售】電池93% MacBook Pro 13吋 M2 / 2023 / 8GB / 256G / 太空灰
MacBook Air,M3,15,256,8,售Apple MacBook Air 15吋M3/8G/256G 2024 灰色
MacBook Pro,M3Max,16,Unknown,Unknown,M3 max MacBook Pro 16寸
MacBook Unknown,M1Max,16,Unknown,32,MacBook M1 Max 32G 1TB 16吋
MacBook Pro,M2,13,256,8,【售】MacBook Pro 13吋 M2 / 2023 / 8GB / 256G / 太空灰
MacBook Pro,Unknown,13,Unknown,Unknown,Macbookpro 2019
MacBook Pro,Unknown,14,Unknown,Unknown,售MacBook Pro 14
MacBook Pro,M3Pro,13,512,Unknown,MacBook Pro m3pro 18G 512GB 14寸 二手99%全新 可議價
MacBook Pro,M3Max,14,512,64,"MacBook Pro M3 Max, 14-inch, 64GB RAM, 512GB storage"
MacBook Pro,M1Pro,16,Unknown,16,高雄可面交🍎僅展示100%新 MacBook Pro 16吋 m1 pro 16/1TB
MacBook Pro,Unknown,13,Unknown,Unknown,二手筆電macbook pro 2020（touch bar)
MacBook Pro,Unknown,15,Unknown,Unknown,MacBook Pro 15 英寸，2017 銀色
Not MacBook,,,Unknown,16,Apple 16 Pro沙漠金
MacBook Pro,Unknown,13,Unknown,Unknown,MacBooks pro 2020
Not MacBook,,,Unknown,128,Ipad pro 12.9吋第五代 M1晶片128g
MacBook Pro,M4,14,512,16,"✅全台面交✅ 蘋果 Apple MacBook Pro 14吋 M4 / 16G / 512G / 太空黑 / 14"" / Macbook Pro 14 M4 16G 512G"
MacBook Pro,M3,14,Unknown,Unknown,❤️‼️售MacBook Pro 14--inch M3 近全新割愛❤️
MacBook Air,M3,13,256,16,【售】客製款MacBook Air 13吋 M3 / 16GB / 256G / 10核心GPU / 太空灰
MacBook Pro,M1Pro,14,512,32,MacBook pro M1 pro 14吋 10 CPU 14 GUP RAM 32G SSD 512G
MacBook Pro,Unknown,14,Unknown,16,MacBook Pro 16-inch A2780
MacBook Pro,Unknown,14,Unknown,Unknown,2014年末 Macbook Pro 15”Retina
MacBook Pro,M4,14,512,16,Macbook Pro M4 14” 16/512G 太空黑
MacBook Pro,Unknown,13,Unknown,Unknown,[售]MacBook pro 13吋Touch Bar A2159 灰
MacBook Pro,M1,13,Unknown,Unknown,MacBook Pro M1
MacBook Air,M3,15,Unknown,Unknown,保固中 MacBook Air 15吋 M3｜電池健康度 100%
MacBook Pro,M3Pro,16,512,16,售 MacBook Pro 16.2吋 M3Pro/18G/ 512G-太空灰
MacBook Pro,Unknown,15,Unknown,Unknown,售 macbook pro 2018 15吋
MacBook Unknown,M2,Unknown,Unknown,8,Macbook M2 8/[hidden information] 吋
MacBook Air,M1,13,Unknown,Unknown,MacBook Air 13-inch M1（A2337）
MacBook Pro,M4,16,512,16,"MACBOOK PRO M4 16/512g 銀色 全新未拆""整新機"""
Not MacBook,,,256,16,Mac Mini M4 16GB/256 改2TB版本
Not MacBook,,,256,16,全新2024 Apple Mac mini/M4晶片/10核心CPU 10核心GPU/16G/256GB
MacBook Air,M3,13,Unknown,24,全新MacBook air m3 13吋 24g+512SSD銀色，原價49900
MacBook Air,Unknown,13,Unknown,Unknown,Macbook Air 13寸
MacBook Pro,Unknown,15,Unknown,Unknown,MacBook Pro 15吋 2017年 A1707
MacBook Pro,Unknown,13,Unknown,8,✨Apple 13.3吋 1.37Kg Macbook Pro Retina 2016 TOUCH BAR/i5雙核 2.9G 8G/256GSSD超快開機 2560x1600視網膜/觸控列✨
MacBook Pro,Unknown,15,512,16,"Apple Macbook Pro Retina 15"" 2.6ghz 16gb/512gb ssd"
MacBook Air,M4,13,512,16,iPhone 16 Pro Max Macbook Air 15吋 (24+512) M4 iPad Air
MacBook Air,Unknown,13,Unknown,Unknown,Macbook air 2019 13吋
Not MacBook,,,Unknown,Unknown,售
MacBook Retina,Unknown,12,Unknown,8,降 二手 蘋果Mac筆記型電腦（銀色）2017MacBook A1534 8G/SSD256GB雙核心
MacBook Pro,Unknown,13,Unknown,Unknown,超值入門 2017 MacBook Pro retina 13
Not MacBook,,,Unknown,Unknown,i7 surface pro 8100$
MacBook Pro,Intel i5,13,Unknown,Unknown,MacbookPro I5 科技銀 a1708 2017 電池可用一~二小D
MacBook Pro,Intel i5,13,Unknown,Unknown,MacBook Pro Intel Core i5 (13inch)
MacBook Pro,Intel i5,13,Unknown,Unknown,Apple macbook pro Intel i5 A1706 機況詳見說明
MacBook Pro,Unknown,13,Unknown,8,✨Apple 13.3吋 1.37Kg Macbook Pro 2017 視網膜高畫質/P3廣色域/ i5雙核 8G/256GSSD超快開機 超纖薄筆電✨
Not MacBook,,,256,8,Apple Mac mini M1 8g/256gb +黑色magic keyboard 及 mouse 有Touch ID的數字鍵盤及滑鼠
MacBook Air,Unknown,13,Unknown,Unknown,MacBook Air 2014
Not MacBook,,,Unknown,4,2011 iMac 2.7G 4G 1TB 21.5吋
Not MacBook,,,Unknown,Unknown,Mac pro 2010 零件機 有外殼 power 單cpu板 ram 硬碟 顯卡 附贈雙cou 板+散熱器
MacBook Pro,Unknown,15,Unknown,Unknown,Macbook pro 2015 保護硬殼+（二手）
Not MacBook,,,Unknown,Unknown,🔥**蘋果迷看過來 高品質 2017 MAC BOOK PRO ！**🔥
MacBook Pro,M3,16,Unknown,Unknown,徵 MACBOOK PRO M3 16吋
MacBook Pro,Intel i7,15,Unknown,Unknown,"MacBook Pro 15"" Late 2011 [Core i7-2.2 GHz]"
MacBook Pro,Unknown,13,Unknown,16,2019 macbook pro 13 16g ram A2159
MacBook Unknown,Unknown,Unknown,Unknown,Unknown,Magsafe Macbook Charger
MacBook Pro,Unknown,13,Unknown,Unknown,電腦MacBook pro 2018 19 便宜出售
MacBook Air,M2,15,512,8,"M2 Macbook Air 15"" 2022 銀色 8G / 512G 只要22800 !!!"
MacBook Pro,M3,14,512,8,全新品 M3 Macbook Pro 14 8/512G 全新未拆封
MacBook Pro,Unknown,15,256,16,"Macbook Pro 15"" 2018 灰色 16G / 256G 剛換新電池 超便宜 只要12800 !!!"
MacBook Pro,Unknown,15,256,8,Macbook pro 2019蘋果筆電 Apple A2159 8G 256G TouchBar TouchID (0141)
MacBook Pro,M3Max,14,Unknown,Unknown,Macbook pro 14吋 M3Max 36G+1TB 14+30核 黑色
MacBook Pro,Unknown,15,Unknown,8,Apple Macbook pro TouchBar A1706 8G 256G蘋果筆電 (0151)
Not MacBook,,,256,Unknown,iPad PRO 12.9 M1 太空灰色 256GB 附充電器
MacBook Pro,Unknown,13,Unknown,Unknown,【蘋果最後的旗艦】蘋果 Apple MacBook Pro 2012 蘋果筆電 已升級滿血 銀色
Not MacBook,,,256,Unknown,iPad PRO 12.9 M1 太空灰色 256GB 附充電器
MacBook Pro,Unknown,14,Unknown,16,全新未拆 MacBook Pro 14 / 16
MacBook Air,M2,13,256,Unknown,13.6吋（2022年 M2）MacBook Air 256G-午夜色
MacBook Pro,Unknown,13,Unknown,Unknown,MacBook Pro 13吋 (A1708)
MacBook Pro,Unknown,13,Unknown,Unknown,售 MacBook Pro 13吋 年份2015年有明顯使用痕跡功能一切正常
MacBook Air,M1,13,Unknown,16,Macbook air M1 16g 1TB 2020
MacBook Pro,M1Max,16,Unknown,32,"MacBook Pro 16吋 (2021, M1 Max, 32GB RAM, 1TB SSD, 美規版)"
MacBook Pro,M1Pro,14,Unknown,Unknown,MacBook Pro M1 Pro 14” 銀色
MacBook Pro,M2Pro,16,Unknown,Unknown,賣MacBook pro m2pro 16寸
MacBook Pro,Unknown,13,Unknown,Unknown,MacBook Pro 13吋
MacBook Pro,M1,13,Unknown,Unknown,Macbook pro M1 2020年 500G空間 8G記憶體
MacBook Pro,Unknown,13,Unknown,Unknown,Apple Macbook pro 13吋 銀色 2020年
MacBook Pro,Intel i5,13,Unknown,Unknown,#售 Mac book pro13吋 🔹品牌：Apple macbook pro 🔹有無盒裝配件：無 🔸出廠年份：2020 🔹處理器：2 GHz 四核心Intel Core i5
MacBook Pro,M2,16,256,16,M2 Powerful MacBook Pro 16GB 256GB
MacBook Pro,M1Pro,14,Unknown,16,Macbook m1 pro 14吋 16/512GB保固內
MacBook Pro,M2,16,Unknown,16,MacBook Pro 2017 i5 16G Ram 256GB容量
Not MacBook,,,256,Unknown,iPad Pro 12.9 256GB M1 (第五代）
MacBook Pro,M1Max,16,Unknown,16,Macbook pro 16 m1 max 32GB 1TB 太空灰 二手
MacBook Pro,Unknown,16,512,32,2019 Macbook pro 16吋 i7六核心 32GB 512GB 獨顯
MacBook Pro,Intel i7,15,Unknown,16,極新 MacBook Pro 15吋 2016款 i7 16g 512ssd 剪片好幫手
MacBook Air,M2,13,Unknown,Unknown,Apple MacBook Air M2
MacBook Air,Unknown,13,Unknown,16,MacBook Air 13 1TB (16G)
MacBook Pro,Unknown,14,Unknown,16,全新 MacBook Pro 16-inch A2780
MacBook Pro,Unknown,13,Unknown,Unknown,［二手］Macbook Pro 2020 13吋 太空灰色(全英鍵盤）
MacBook Pro,Unknown,13,Unknown,Unknown,全新MacBook Pro 未拆封 未啟用保固 外盒無損
MacBook Pro,Intel i5,13,Unknown,8,【二手蘋果電腦】MacBook Pro 13吋 Touch Bar Intel Core i5 / 8GB / 太空灰 A1706 台北面交
MacBook Pro,M2,13,Unknown,Unknown,MacBook Pro（13 英寸，M2，2022 年）
MacBook Pro,Intel i5,13,Unknown,8,2017 13吋Macbook Pro i5 雙核2.3GHz 記憶體8G 容量256G
MacBook Air,Unknown,13,Unknown,Unknown,MacBook Air 售
Not MacBook,,,256,Unknown,近全新M4 iPad Pro 13吋 256G WiFi版 太空灰
Not MacBook,,,512,16,二手Mac Mini M2 Pro晶片 10核心CPU 16核心GPU 16G//512G SSD 含Apple Care 保險
MacBook Air,M4,13,512,Unknown,Apple macbook air M4 512GB
Not MacBook,,,256,Unknown,Mac book air A1932 256g 有灌雙係統
MacBook Unknown,M4,13,Unknown,Unknown,賣Macbook13(M4) 5/22購入 5/26開機 完全全新 僅拆封 售出原因：未做功課 系統不支援需要的軟體 未下載 僅用手機查看 附：螢幕保護貼 保護殼 鍵盤膜 觸控膜 軌跡貼
MacBook Pro,M1Pro,16,Unknown,32,Macbook pro 16吋M1 Pro 32GB 2TB
MacBook Air,M4,15,512,24,1. Macbook Air 15吋 (24+512) M4 晶片 $48000 2.I phone16 promax 512G $46000
MacBook Pro,M4Max,14,Unknown,128,一台頂規現貨二手 台版 MacBook Pro 14 m4 max 128G 記憶體 2T SSD 納米螢幕 全部盒裝都在 無任何傷痕問題
MacBook Pro,M1,16,512,Unknown,2021 MacBook Pro M1 16寸 512GB
MacBook Pro,M3Pro,14,512,Unknown,【售】電池100% MacBook Pro 14吋 M3 Pro / 18GB / 512G / 銀
Not MacBook,,,256,Unknown,二手 Apple 蘋果 iPad Pro 11 3 M1 256G WiFi 太空灰
MacBook Air,M3,13,256,16,全新MacBook Air M3 13.6吋 16G/256G SSD 午夜色售34000
MacBook Air,M4,15,256,16,MacBook Air 15吋 M4 16GB 256G SSD 全新未拆
Not MacBook,,,512,Unknown,iPad Pro M4 512G 13吋
MacBook Pro,Intel i7,15,Unknown,8,"MacBook Pro i7 8G/240G SSD 15"" big screen 大螢幕"
Not MacBook,,,Unknown,Unknown,1.CHERRY MX BOARD 3.0 RGB 白正刻 青軸 價格:800
MacBook Pro,Intel i7,15,256,16,Apple MacBook Pro 15吋2017 i7-2.9 有觸控列 16G/256G 灰色 A1707
MacBook Pro,Intel i9,16,Unknown,Unknown,32G記憶體 I9 八核心 MacBook Pro 16吋 1TB SSD 容量
MacBook Pro,M3Pro,14,Unknown,Unknown,Macbook pro 14吋M3 Pro 18GB 1TB
MacBook Air,Intel i5,13,Unknown,8,2016 MacBook Air A1466 i5-1.6/8G/128G/循環670 功能正常 自取 不議
MacBook Air,Unknown,13,Unknown,Unknown,"MacBook Air (13 英吋, 2013年中) 充電器全新 蘋果筆電"
MacBook Unknown,M1,Unknown,Unknown,Unknown,MacBook M1 2020
MacBook Air,M2,13,Unknown,Unknown,MacBook Air M2 (13.6吋)
MacBook Pro,Unknown,16,Unknown,16,記憶體16/1tb SSD 2020高規格4孔 MacBook Pro retina 13
MacBook Pro,Unknown,15,Unknown,Unknown,售2020年生產，macbook pro a2159帶touch bar
MacBook Air,M1,13,Unknown,Unknown,Apple Macbook air m1 電池循環31次 跟新機差不多
Not MacBook,,,Unknown,Unknown,出售
MacBook Pro,Intel i7,13,512,16,先誠信再成交🤝 🔥MacbookPro A1989 不完美機台🔥 二手筆電💻I7-16G 512G 詳情看內文 新北市土城區面交佳💯
MacBook Pro,Unknown,14,Unknown,Unknown,（售）2014年末 Macbook Pro 15”Retina
Not MacBook,,,Unknown,Unknown,【全新未拆封】Apple Magic Mouse 2 / Magic Keyboard（無 Touch ID）2020 年款
MacBook Air,M3,13,512,16,2024 MacBook Air 13吋 M3 8C10G 16G 512 GB SSD 公司貨 全新未拆封 保固未啟用
MacBook Air,Unknown,13,Unknown,Unknown,2019 MacBook Air
Not MacBook,,,Unknown,32,M1 Max 32GB 1TB SSD 購入：2022年4月30日
MacBook Pro,Unknown,13,Unknown,8,✨Apple 13.3吋 1.58Kg Macbook Pro Retina 2015 i5雙核 2.7G 8G/256GSSD超快開機 2560x1600視網膜高畫質螢幕/經典蘋果光LOGO✨
Not MacBook,,,256,16,iPhone 16 Pro 256G
MacBook Pro,Intel i5,13,Unknown,4,Apple MacBook pro i5 2.4 13寸
Not MacBook,,,Unknown,Unknown,Lepow 15.6吋 攜帶式外接螢幕
MacBook Air,Unknown,15,Unknown,Unknown,MacBook Air 2015
Not MacBook,,,Unknown,Unknown,🔥**售 2019 MAC BOOK PRO I5 輕薄筆電大特賣！**🔥
MacBook Unknown,Unknown,Unknown,Unknown,Unknown,Paralles desktop 20 在 macos 上用 arm架構版本的 windows 一年內可更新到最新 過期後該版本變終身 Macbook 軟體 應用程式
MacBook Pro,Intel i5,13,512,16,MacBook Pro 13寸 2020 i5 16g 512g
MacBook Pro,M4,14,Unknown,16,MacBook Pro M4 14吋 16/1tb
MacBook Air,M3,13,512,24,MacBook Air M3 24g/512g 保固至2026/01/15 盒配完整 全新無傷 北市 自取 不議
MacBook Pro,Intel i5,13,Unknown,8,【台中青蘋果】MacBook Pro 13吋 i5 2.3 8G 128G 2017 銀 二手 蘋果筆電 #96810
MacBook Pro,Unknown,16,Unknown,16,Macbook pro 16 inch 2019
Not MacBook,,,Unknown,Unknown,可自取 可寄送到付 拍立得200
MacBook Air,M1,13,256,8,螢幕右側破圖2020 MacBook Air M1 8G 256G
MacBook Air,M2,13,Unknown,16,Macbook Air M2 16G/256SSD 銀色
MacBook Air,M2,13,Unknown,Unknown,MacBook Air M2
MacBook Air,M2,13,256,8,【售】MacBook Air 13吋 M2 / 8GB / 256G / 太空灰
MacBook Air,M3,13,Unknown,8,MacBook Air 13 2024 8G M3可議價
MacBook Pro,M1Max,14,Unknown,32,電池100%稀有釋出M1 Max MacBook Pro 14吋32/2TB
MacBook Air,M4,15,256,16,Apple MacBook Air 15 M4 10核心 CPU 10核心 GPU 16G/256G SSD
Not MacBook,,,Unknown,Unknown,Apple二手手機收購
MacBook Air,M1,13,256,8,【售】MacBook air 13吋 M1 / A2337 / 8GB / 256G / 灰色
MacBook Air,M4,15,512,24,Macbook Air 15吋 (24+512) M4 晶片（最新晶片） 官網55900 售52000
MacBook Pro,M3Max,14,Unknown,Unknown,剪輯猛獸 全機包膜保固還有330幾天 M3 max 36G/1TB SSD MacBook Pro 14吋
MacBook Pro,Unknown,16,Unknown,Unknown,升級售出 MacBook Pro 2016（TouchBar款）
MacBook Pro,Intel i5,13,256,8,MacBook Pro 2020年製造 A2289 CPU i5 RAM 8GB HDD 256GB
MacBook Air,M3,15,Unknown,16,MacBook Air 15吋 m3晶片 16g ram 512G硬碟
MacBook Pro,Unknown,16,256,Unknown,🔥蘋果MacBook Pro A1708 I7七代 高效能筆電 搭配8G記憶體+256G SSD+Retina螢幕(2560*1600)🔥
Not MacBook,,,Unknown,Unknown,（全新）ADAM亞果元素 CASA Hub USB-C 9-in-1 Hub
Not MacBook,,,Unknown,Unknown,"售 i7 10700KF cpu, 功能正常使用 ps:只賣 cpu"
Not MacBook,,,256,8,外觀良好Mac mini M1 8G 256G 2021年
Not MacBook,,,Unknown,Unknown,全新未拆 OWC USB-C TRAVEL DOCK 2.0 隨身多功能擴充(USB-C / USB-A / SD 卡 / HDMI)
Not MacBook,,,Unknown,Unknown,iPhone 15 編織線 TypeC
Not MacBook,,,Unknown,16,Apple Mac Mini A1347 i7 16g 雙硬碟 頂規機
Not MacBook,,,Unknown,Unknown,Apple原廠配件 PD快充出售
MacBook Retina,Intel,12,512,8,"MacBook (Retina, 12 英吋, 2015 年初 8 GB RAM 512 GB SSD)"
MacBook Pro,Intel i9,16,Unknown,32,MacBook pro 16寸 2019 i9 32G 1TB
MacBook Pro,M3Pro,14,512,Unknown,Macbook pro 14吋M3 Pro 18GB 512GB 98%
MacBook Air,Unknown,13,512,Unknown,全新出清 MacBook Air 512GB
MacBook Air,M2,13,256,8,MacBook Air 2022 M2 8G+256G 13吋 A2681 午夜黑
Not MacBook,,,256,Unknown,Mac book air M4 天空藍 256GB 13吋
MacBook Air,M2,13,256,8,【售】MacBook Air 13吋 M2 / 8GB / 256G / 午夜色
Not MacBook,,,Unknown,Unknown,售mabook air M2
